"INDI_ID","CSF","GM","WM","DGM","BS","Cerebellum"
28374,296442.96875,542023.9375,407277.9375,38880.99609375,24983.99609375,188966.984375
28545,267280.96875,465805.9375,386741.96875,32187.99609375,18695.998046875,139410.984375
28344,324942.96875,448189.9375,354220.96875,33913.99609375,18009.998046875,135899.984375
28392,248605.96875,447363.9375,379548.96875,39113.99609375,19992.998046875,145607.984375
28479,310794,641888,520619,43956,22653,177707
28495,289434,546338,410798,35103,18910,149010
28492,321177.96875,543640.9375,452140.96875,39184.99609375,20965.998046875,163467.984375
28468,290275.96875,510833.96875,396112.96875,39928.99609375,24132.998046875,160949.984375
28592,255790.984375,521305.96875,342694.96875,33962.99609375,16824.998046875,151703.984375
28419,312778,361193,420014,35602,19946,153950
28550,283407,632566,394886,40116,19031,163290
28632,268183.96875,451382.9375,369740.96875,36520.99609375,18383.998046875,148797.984375
28366,218228,594643,380312,37605,17347,138997
28456,274611,552535,377550,36050,19297,151858
28593,272088.96875,508648.96875,406293.96875,35382.99609375,18733.998046875,146016.984375
28549,220014,574992,380785,43447,21103,162567
28617,232595.96875,440012.9375,359110.96875,34128.99609375,17066.998046875,134196.984375
28340,271456.96875,435494.96875,367253.96875,33230.99609375,17243.998046875,126799.9921875
28349,282269.96875,462517.9375,475755.9375,34632.99609375,9036.9990234375,99899.984375
28505,252764,653921,437057,41644,9190,77051
28463,252460,442085,458442,37120,11013,90916
28603,314949.96875,656158.9375,494665.96875,42049.99609375,16254.9990234375,126476.9921875
28441,298731,575507,460538,44010,23029,153638
28428,286540,500371,362580,31475,18726,146974
28523,299656.96875,569671.9375,425003.96875,37989.99609375,22331.998046875,164537.984375
28357,283408,564519,392339,38724,20176,177094
28574,302101,536533,434446,38512,23513,168246
28499,274551,498170,408207,40165,20509,145425
28569,322758.96875,524193.96875,458861.96875,41996.99609375,23829.998046875,171377.984375
28385,255308.96875,539816.9375,437713.9375,37810.99609375,19723.998046875,131157.984375
28631,281474.96875,553938.9375,384321.96875,37509.99609375,19513.998046875,146116.984375
28326,327752.96875,511481.96875,430618.96875,34362.99609375,19445.998046875,154050.984375
28461,275449,436270,431251,37944,18211,142745
28560,310418,525728,425631,38233,21797,162472
28520,321217.96875,509930.96875,405271.96875,33955.99609375,19663.998046875,154811.984375
28528,416508.96875,660613.9375,514991.96875,44816.99609375,25195.998046875,205760.984375
