,0,1,2,3,4,5,6
28329,9028331,311881,600183,364880,31675,12407,136403
28331,9222352,331130,411690,333427,34063,15982,137116
28332,8838606,315734,590113,514570,39564,22945,164228
28338,8910101,309866,569040,471617,37159,21993,165984
28341,8910293,368332,528380,450410,40639,22105,165601
28344,9228420,190397,555159,350047,29298,13586,118853
28346,8986320,321845,529847,454480,35345,20850,137073
28347,9143553,281407,497817,370347,28084,18675,145877
28353,9103793,385207,458256,357528,25973,16452,138551
28354,8849189,409710,556799,462691,33129,21022,153220
28358,8873832,373522,538545,493368,41697,20355,144441
28370,8772774,302382,675142,505322,38296,19827,172017
28371,9192366,323544,418476,394886,29084,15061,112343
28372,8949669,242869,561696,515302,37565,22416,156243
28375,9063314,268371,555921,409280,33389,17726,137759
28380,9178232,245992,514782,356656,30006,15847,144245
28385,9259622,269124,427694,348814,29930,15876,134700
28386,9046022,395012,506543,338293,33282,17716,148892
28387,9069364,318240,503680,404820,32605,18963,138088
28390,9012541,313703,511618,444069,35056,20053,148720
28393,9261749,229801,460619,345531,29494,15789,142777
28394,9106716,284966,500557,394304,34413,18247,146557
28395,9004981,424288,498112,363452,32991,18191,143745
28398,8957163,231816,636366,454247,39450,18162,148556
28405,9221850,235245,511959,347205,29299,13612,126590
28408,9077359,275837,510540,408593,35806,22999,154626
28409,9121301,226839,542121,412703,31548,17224,134024
28413,9050309,373320,498023,395220,31454,17425,120009
28414,9214518,220050,494479,372259,29762,15826,138866
28417,9071071,210392,579730,405456,35935,19823,163353
28419,8973095,275801,583429,435395,36445,16049,165546
28425,8940170,285050,563559,485179,34776,17615,159411
28428,9338606,270654,399577,307020,29321,17164,123418
28435,9210887,315463,438309,343809,31130,16372,129790
28441,8967495,378222,588418,366258,26931,15779,142657
28443,9092370,267966,513893,421454,30189,17245,142643
28446,9063526,335454,507847,382385,29978,18417,148153
28457,8936097,361455,542409,441262,35695,18796,150046
28462,8961416,263741,589880,461552,35605,16538,157028
28465,9048094,284535,506220,440327,35709,20194,150681
28468,9094287,205564,551502,417086,32837,19612,164872
28469,9110556,258920,488557,429098,35271,20000,143358
28472,9164964,334246,455157,345094,32429,19890,133980
28473,9022168,300398,533643,429079,34853,18765,146854
28476,9173514,225735,513581,376147,33094,17006,146683
28477,9039639,258933,567328,420508,36929,16347,146076
28478,9051851,244547,536542,460869,30120,18795,143036
28479,8924251,239793,613465,496910,31211,21376,158754
28480,8972362,334668,490072,482640,34883,21572,149563
28484,8990962,240135,551823,515404,38214,18762,130460
28485,9267835,247416,464909,324345,30130,15542,135583
28493,9160888,186196,539732,397350,31269,19125,151200
28498,9023889,312316,552911,397846,31148,17885,149765
28499,9174829,325021,422820,376376,27880,20408,138426
28501,9021226,251286,598069,411482,31686,17247,154764
28512,9177595,283246,454784,381371,32492,17805,138467
28513,8835782,290638,656018,463284,34208,22440,183390
28514,8971043,361776,507875,428895,33863,21291,161017
28517,8958012,293212,576022,465258,30741,21308,141207
28520,8858768,274248,662955,471155,32896,14432,171306
28522,9148091,228039,533790,385114,28102,14034,148590
28525,9161790,245667,498376,382696,34882,18220,144129
28526,8806545,465616,523936,473083,39561,25091,151928
28527,9136529,370502,413875,373284,34049,19281,138240
28529,9219587,214168,499305,362917,33931,17786,138066
28534,9280648,208850,442619,373773,30331,16440,133099
28535,9100013,233429,570795,398042,32000,15746,135735
28537,9132133,326783,458019,396346,31424,15512,125543
28539,9187985,258637,462386,397645,30752,17154,131201
28545,9101938,236358,491179,430003,33283,19780,173219
28547,9179824,347998,435375,365714,28853,15655,112341
28549,9174813,323546,442465,363281,30297,18162,133196
28551,9089653,276100,543175,388322,30236,18515,139759
28556,8924168,330906,510553,504414,35426,22931,157362
28560,9014340,322313,515002,427557,32830,19929,153789
28561,9092992,248127,503015,411045,35237,22010,173334
28563,9038068,373441,507114,366830,33877,17210,149220
28566,9005225,332161,506503,437509,33108,21937,149317
28569,8901555,450037,498606,447300,32529,20896,134837
28572,9000467,398362,473167,426846,33299,19024,134595
28592,8935886,265078,581088,469985,39066,19018,175639
28593,9228342,351497,390075,351413,29677,18095,116661
28595,9015755,274512,550494,449601,33558,18095,143745
28596,9157354,349557,436296,370603,26267,18113,127570
28598,8935733,307256,604535,423736,37363,18719,158418
28603,9127720,238228,512314,423025,33727,17927,132819
28605,9057637,275060,508530,439556,33681,19328,151968
28609,8955289,234831,636243,450501,37924,19874,151098
28610,9270365,317999,408905,336494,29251,10209,112537
28613,9334448,207144,433919,328148,28195,17627,136279
28614,9099852,205619,585614,379078,34054,17660,163883
28615,9052300,317699,523965,399027,30503,18610,143656
28616,9011180,233075,580744,457467,36299,18718,148277
28617,8740210,347763,609683,549432,38168,23242,177262
28624,8839655,241883,683759,491988,35833,25069,167573
28625,9027110,199328,604102,437451,34447,19307,164015
28627,9099129,242430,542877,414416,32688,17429,136791
28634,8898840,230733,662095,460144,37905,20800,175243
28640,9028732,300961,497224,439645,35870,20324,163004
